"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"12.08.2020","21,4917","21,3108","21,8754","20,8891","2,46M","1,14%"
"11.08.2020","21,2493","22,6499","22,6548","21,0079","3,21M","-6,09%"
"10.08.2020","22,6285","22,4037","22,6285","22,3527","2,11M","0,79%"
"09.08.2020","22,4504","22,9148","22,9148","22,2051","2,11M","-2,07%"
"08.08.2020","22,9240","22,2729","22,9240","22,0150","2,41M","2,59%"
"07.08.2020","22,3459","22,7165","22,9478","22,0345","2,77M","-1,76%"
"06.08.2020","22,7455","23,2763","23,2763","22,7455","2,45M","-2,28%"
"05.08.2020","23,2761","22,3077","23,3171","22,2002","3,69M","4,39%"
"04.08.2020","22,2964","22,0479","22,3731","21,7668","2,39M","1,06%"
"03.08.2020","22,0622","20,9955","22,3718","20,9955","2,67M","5,00%"
"02.08.2020","21,0126","21,6240","21,9181","20,2193","3,36M","-2,83%"
"01.08.2020","21,6247","20,7066","21,6247","20,7066","2,66M","4,61%"
"31.07.2020","20,6721","19,9611","20,6793","19,9611","2,24M","3,44%"
"30.07.2020","19,9853","19,7554","20,0210","19,6639","2,06M","0,83%"
"29.07.2020","19,8199","20,1748","20,2176","19,8199","2,23M","-1,71%"
"28.07.2020","20,1653","19,7582","20,3588","19,7320","3,52M","1,84%"
"27.07.2020","19,8000","19,5462","19,8000","18,7441","3,84M","1,25%"
"26.07.2020","19,5551","19,7686","20,1859","19,4720","2,86M","-1,25%"
"25.07.2020","19,8028","19,1934","19,8144","19,1934","2,96M","3,23%"
"24.07.2020","19,1839","18,7477","19,3495","18,3949","2,79M","2,25%"
"23.07.2020","18,7614","18,0938","18,7614","18,0938","2,39M","3,63%"
"22.07.2020","18,1049","17,7132","18,1049","17,5862","2,17M","2,17%"
"21.07.2020","17,7200","17,4385","17,8808","17,4385","2,11M","1,42%"
"20.07.2020","17,4713","18,0329","18,1955","17,4548","2,49M","-2,98%"
"19.07.2020","18,0080","17,1476","18,0080","16,9293","2,60M","5,13%"
"18.07.2020","17,1299","17,0641","17,2210","16,9353","1,69M","0,31%"
"17.07.2020","17,0763","17,1487","17,3734","17,0434","1,86M","-0,45%"
"16.07.2020","17,1535","17,6471","17,6471","16,8135","2,05M","-2,71%"
"15.07.2020","17,6305","18,0733","18,0733","17,4826","1,96M","-2,57%"
"14.07.2020","18,0954","18,3510","18,4148","17,9712","2,38M","-1,77%"
"13.07.2020","18,4223","18,3092","18,7717","17,9888","3,23M","0,65%"
"12.07.2020","18,3034","17,6150","18,3830","17,6150","2,99M","3,87%"
"11.07.2020","17,6209","17,3300","17,6209","17,1965","2,32M","1,86%"
"10.07.2020","17,2997","16,8395","17,2997","16,5883","2,10M","2,74%"
"09.07.2020","16,8389","17,2819","17,2819","16,6525","1,87M","-2,45%"
"08.07.2020","17,2612","16,8082","17,4009","16,8082","2,27M","2,73%"
"07.07.2020","16,8024","16,3013","16,8024","16,1743","1,88M","3,08%"
"06.07.2020","16,3000","15,5049","16,3000","15,5049","1,61M","5,11%"
"05.07.2020","15,5077","15,5465","15,6096","15,2900","1,12M","-0,32%"
"04.07.2020","15,5581","15,2760","15,6247","15,2312","1,32M","1,83%"
"03.07.2020","15,2778","15,3625","15,4870","15,2625","1,21M","-0,50%"
"02.07.2020","15,3552","15,7997","15,9611","15,0854","1,40M","-2,90%"
"01.07.2020","15,8144","15,3929","15,8800","15,3421","1,61M","2,60%"
"30.06.2020","15,4131","15,4937","15,5384","15,2581","1,31M","-0,30%"
"29.06.2020","15,4598","15,3815","15,5899","15,2052","1,51M","0,41%"
"28.06.2020","15,3968","15,1224","15,4917","14,9252","1,40M","1,74%"
"27.06.2020","15,1336","15,7645","15,8689","14,8357","1,31M","-4,03%"
"26.06.2020","15,7694","15,8882","15,9986","15,5819","1,04M","-0,88%"
"25.06.2020","15,9101","15,9919","16,0800","15,5075","1,20M","-0,58%"
"24.06.2020","16,0028","16,3837","16,6446","15,9786","1,53M","-2,36%"
"23.06.2020","16,3899","16,5040","16,5432","16,2754","1,45M","-0,67%"
"22.06.2020","16,5000","15,9775","16,5274","15,9648","1,71M","3,32%"
"21.06.2020","15,9700","16,0708","16,3127","15,9460","1,32M","-0,55%"
"20.06.2020","16,0578","15,9100","16,0852","15,7000","1,43M","0,61%"
"19.06.2020","15,9612","16,1451","16,2819","15,8966","1,32M","-1,20%"
"18.06.2020","16,1554","16,3904","16,5346","15,8995","1,38M","-1,48%"
"17.06.2020","16,3983","16,4387","16,6173","16,0058","1,50M","-0,18%"
"16.06.2020","16,4280","16,3870","16,6229","16,1634","1,61M","0,30%"
"15.06.2020","16,3796","16,5588","16,5971","15,5431","1,52M","-1,09%"
"14.06.2020","16,5609","16,8111","16,8396","16,4156","1,70M","-1,49%"
"13.06.2020","16,8111","16,6439","16,8111","16,4961","2,02M","1,02%"
"12.06.2020","16,6417","16,2148","16,7732","16,1021","1,93M","2,62%"
"11.06.2020","16,2163","17,4094","17,5095","16,0001","1,80M","-6,83%"
"10.06.2020","17,4052","17,3404","17,5655","17,2596","1,81M","0,19%"
"09.06.2020","17,3719","17,4438","17,5052","17,1367","1,63M","-0,26%"
"08.06.2020","17,4169","17,4151","17,5341","17,2684","1,66M","-0,02%"
"07.06.2020","17,4202","17,5439","17,6314","16,9000","1,82M","-0,73%"
"06.06.2020","17,5476","17,5992","17,7890","17,5131","2,11M","-0,83%"
"05.06.2020","17,6937","17,5147","17,8803","17,4527","2,45M","0,96%"
"04.06.2020","17,5248","17,5996","17,6482","17,0850","2,32M","-0,14%"
"03.06.2020","17,5493","17,2709","17,6272","17,0385","2,65M","1,54%"
"02.06.2020","17,2834","17,9453","18,2000","16,7722","2,54M","-3,58%"
"01.06.2020","17,9253","17,0845","18,0953","16,9927","2,99M","4,73%"
"31.05.2020","17,1158","17,7500","18,1732","16,8700","2,61M","-3,47%"
"30.05.2020","17,7311","17,0189","17,7776","16,9344","2,97M","4,28%"
"29.05.2020","17,0031","17,1228","17,1760","16,6851","2,60M","-0,38%"
"28.05.2020","17,0686","16,4505","17,1362","16,3977","2,87M","3,68%"
"27.05.2020","16,4633","16,2132","16,5029","16,1606","2,61M","1,52%"
"26.05.2020","16,2172","16,3885","16,4845","15,9646","2,01M","-0,99%"
"25.05.2020","16,3800","15,9694","16,4068","15,8655","2,36M","2,30%"
"24.05.2020","16,0122","16,4620","16,7873","16,0122","2,27M","-2,78%"
"23.05.2020","16,4709","16,5931","16,8414","16,3318","2,30M","-0,76%"
"22.05.2020","16,5967","16,0816","16,8943","15,9219","2,52M","3,14%"
"21.05.2020","16,0917","16,8994","17,0500","15,7627","2,16M","-4,76%"
"20.05.2020","16,8954","17,1965","17,3305","16,5356","2,40M","-1,80%"
"19.05.2020","17,2045","16,6342","17,2317","16,3043","3,25M","3,45%"
"18.05.2020","16,6300","16,2730","16,8538","16,2543","3,12M","2,02%"
"17.05.2020","16,3000","16,0084","16,4986","16,0084","2,89M","1,51%"
"16.05.2020","16,0580","15,7079","16,2345","15,5850","2,73M","2,26%"
"15.05.2020","15,7038","16,3525","16,4679","15,5756","2,31M","-4,12%"
"14.05.2020","16,3787","16,2104","16,6899","16,0266","2,80M","0,98%"
"13.05.2020","16,2190","15,7118","16,3404","15,6785","2,81M","2,84%"
"12.05.2020","15,7708","15,0826","16,2194","14,9791","3,03M","4,12%"
"11.05.2020","15,1466","15,3567","15,5442","14,1388","2,73M","-1,48%"
"10.05.2020","15,3742","16,7657","16,7754","14,0190","2,91M","-8,57%"
"09.05.2020","16,8150","17,1296","17,4900","16,8150","2,23M","-1,89%"
"08.05.2020","17,1389","17,0239","17,3962","16,8300","2,62M","0,88%"
"07.05.2020","16,9900","16,3078","17,2374","16,1601","3,03M","3,70%"
"06.05.2020","16,3837","16,8794","17,1348","16,3300","2,72M","-2,99%"
"05.05.2020","16,8883","17,0452","17,2922","16,6099","2,61M","-0,78%"
"04.05.2020","17,0205","17,0756","17,2846","16,3211","2,76M","-0,51%"
"03.05.2020","17,1071","17,5393","17,7914","16,8723","2,62M","-2,44%"
